timestamp,region,product,channel,units,price,revenue,cost,margin,cpu_pct,latency_ms,err_rate
2024-01-01,US,Widget A,partner,224,57.86,12960.64,7741.32,5219.32,68.8,289.8,0.768
2024-01-02,US,Widget A,online,220,88.16,19395.2,10904.93,8490.27,71.3,240.8,0.663
2024-01-03,LATAM,Widget B,retail,128,104.75,13408.0,6051.03,7356.97,76.3,244.2,0.406
2024-01-04,APAC,Widget A,online,152,68.72,10445.44,5419.0,5026.44,49.2,55.0,0.647
2024-01-05,LATAM,Widget A,retail,92,63.45,5837.4,3360.75,2476.65,81.4,151.4,0.54
2024-01-06,EU,Gadget C,online,252,109.32,27548.64,14491.28,13057.36,59.6,297.6,0.607
2024-01-07,EU,Gadget C,retail,173,61.36,10615.28,6765.45,3849.83,70.0,232.1,0.731
2024-01-08,EU,Gizmo D,retail,182,114.03,20753.46,12195.41,8558.05,48.0,145.9,0.927
2024-01-09,US,Widget B,online,327,72.09,23573.43,10920.1,12653.33,84.8,223.9,0.458
2024-01-10,LATAM,Gizmo D,partner,125,61.19,7648.75,3819.22,3829.53,66.6,128.9,0.297
2024-01-11,LATAM,Gizmo D,retail,107,119.8,12818.6,7074.65,5743.95,42.0,60.8,0.825
2024-01-12,LATAM,Widget A,retail,121,119.69,14482.49,8049.7,6432.79,89.1,322.4,0.768
2024-01-13,US,Widget A,partner,351,100.07,35124.57,21205.4,13919.17,55.7,140.5,0.513
2024-01-14,APAC,Widget B,partner,220,109.64,24120.8,12294.11,11826.69,72.1,242.0,0.52
2024-01-15,EU,Gadget C,online,227,102.29,23219.83,12911.87,10307.96,37.8,150.1,1.185
2024-01-16,APAC,Widget B,online,151,85.39,12893.89,6005.35,6888.54,77.6,306.9,0.584
2024-01-17,EU,Widget B,partner,222,83.98,18643.56,9377.92,9265.64,85.5,180.1,0.589
2024-01-18,EU,Gadget C,retail,295,91.99,27137.05,14589.42,12547.63,66.4,83.3,0.863
2024-01-19,EU,Widget A,retail,163,84.31,13742.53,7801.47,5941.06,38.7,266.0,0.604
2024-01-20,US,Gadget C,online,302,62.28,18808.56,10289.84,8518.72,67.9,267.8,0.541
2024-01-21,LATAM,Widget B,retail,165,55.23,9112.95,4277.49,4835.46,62.0,172.8,0.026
2024-01-22,US,Widget A,retail,345,104.05,35897.25,16938.25,18959.0,49.0,204.2,0.6
2024-01-23,EU,Gizmo D,online,204,59.98,12235.92,7765.56,4470.36,62.8,297.3,0.408
2024-01-24,US,Widget A,online,246,78.85,19397.1,9557.91,9839.19,60.6,58.6,0.47
2024-01-25,LATAM,Widget A,retail,122,102.73,12533.06,6780.41,5752.65,61.8,314.6,0.882
2024-01-26,LATAM,Widget B,online,126,117.5,14805.0,8377.2,6427.8,68.3,250.1,0.489
2024-01-27,US,Widget A,partner,309,113.55,35086.95,19516.25,15570.7,41.6,179.2,0.567
2024-01-28,US,Widget B,retail,244,111.22,27137.68,13548.3,13589.38,71.0,206.0,0.409
2024-01-29,LATAM,Gadget C,retail,120,97.3,11676.0,5811.58,5864.42,60.0,216.1,0.419
2024-01-30,US,Widget A,retail,343,85.04,29168.72,13709.19,15459.53,67.7,169.0,0.749
2024-01-31,EU,Gadget C,online,304,69.56,21146.24,10182.96,10963.28,83.7,216.7,0
2024-02-01,US,Gadget C,partner,246,110.25,27121.5,13639.22,13482.28,86.5,223.0,0
2024-02-02,EU,Gadget C,retail,266,97.41,25911.06,12715.06,13196.0,72.4,101.0,0
2024-02-03,US,Widget A,partner,312,62.13,19384.56,8736.8,10647.76,79.5,191.1,0.547
2024-02-04,APAC,Widget B,partner,195,96.45,18807.75,10573.37,8234.38,43.7,263.7,0.438
2024-02-05,US,Gadget C,partner,341,74.38,25363.58,11625.8,13737.78,57.1,258.6,0.341
2024-02-06,US,Gadget C,online,369,93.35,34446.15,17937.34,16508.81,67.2,243.1,0.992
2024-02-07,EU,Widget B,online,316,41.98,13265.68,7923.76,5341.92,54.8,255.7,0.418
2024-02-08,EU,Gadget C,online,303,48.65,14740.95,9204.74,5536.21,82.4,87.0,0.635
2024-02-09,APAC,Widget B,online,148,55.45,8206.6,4231.75,3974.85,82.2,264.7,0.196
2024-02-10,APAC,Gadget C,partner,210,94.36,19815.6,12260.55,7555.05,53.9,40.9,0.667
2024-02-11,APAC,Widget A,online,222,67.65,15018.3,9120.4,5897.9,59.1,272.2,0.337
2024-02-12,US,Gizmo D,partner,279,43.55,12150.45,6527.36,5623.09,63.0,231.6,0.225
2024-02-13,EU,Gadget C,retail,197,93.14,18348.58,9468.6,8879.98,52.1,244.6,0
2024-02-14,APAC,Gadget C,partner,201,72.19,14510.19,7387.59,7122.6,42.2,141.0,0.92
2024-02-15,EU,Gadget C,retail,275,40.03,11008.25,5585.4,5422.85,57.3,183.8,0.335
2024-02-16,APAC,Gizmo D,retail,207,57.1,11819.7,6437.45,5382.25,80.7,242.8,0.561
2024-02-17,APAC,Widget A,online,238,57.97,13796.86,6758.06,7038.8,36.3,102.1,0.611
2024-02-18,LATAM,Widget A,retail,154,90.38,13918.52,6804.58,7113.94,69.4,170.9,0.517
2024-02-19,US,Widget A,retail,294,104.33,30673.02,18072.0,12601.02,57.5,191.4,0.938
2024-02-20,US,Gizmo D,online,420,93.41,39232.2,25405.93,13826.27,63.5,304.5,0.821
2024-02-21,LATAM,Gizmo D,online,188,77.97,14658.36,7356.13,7302.23,46.2,221.6,0.239
2024-02-22,LATAM,Widget B,retail,159,97.08,15435.72,7669.99,7765.73,50.1,299.4,0.65
